"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode"
"2123",15,"stationary_control",4,"2","royalblue","flashing",2,"right","left","spotted","18","off"
"2323",15,"stationary_light",2,"3","white","flashing",2,"left","right","spotted","18","off"
"3012",15.471,"stationary_control",4,"6","red","continuous",2,"left","right","blonde","19","off"
"3116",106.735,"stationary_control_stop",8,"6","red","continuous",2,"left","right","blonde","19","off"
"3214",150.611,"stationary_control",4,"6","red","continuous",2,"left","right","blonde","19","off"
"3313",172.566,"stationary_control_stop",8,"6","red","continuous",2,"left","right","blonde","19","off"
"5310",15.299,"stationary_light",2,"4","amber","flashing",2,"left","right","blonde","19","off"
"547",95.266,"stationary_light_stop",6,"4","amber","flashing",2,"left","right","blonde","19","off"
"1141",279.02,"stationary_control",4,"3","royalblue","flashing",1,"right","left","blonde","19","off"
"1130",15,"stationary_control",4,"2","amber","continuous",1,"right","left","blonde","20","off"
"390",15.092,"stationary_light",2,"1","blue","continuous",1,"left","right","blonde","20","off"
"480",84.025,"stationary_light_stop",6,"1","blue","continuous",1,"left","right","blonde","20","off"
"630",181.104,"stationary_light",2,"1","blue","continuous",1,"left","right","blonde","20","off"
"825",15,"stationary_control",4,"6","green","continuous",1,"right","left","blonde","20","off"
"1026",15,"stationary_control",4,"4","red","continuous",1,"right","left","blonde","20","off"
"1226",15,"stationary_light",2,"5","royalblue","continuous",1,"left","right","blonde","20","off"
"1425",15,"stationary_light",2,"3","white","continuous",1,"left","right","blonde","20","off"
"1625",15.535,"stationary_light",2,"2","amber","flashing",2,"right","left","blonde","20","off"
"1825",15.451,"stationary_control",4,"3","blue","flashing",2,"left","right","blonde","20","off"
"1925",277.231,"stationary_control_stop",8,"3","blue","flashing",2,"left","right","blonde","20","off"
"2425",15.934,"stationary_light",2,"5","green","flashing",2,"right","left","blonde","20","off"
"2622",15.942,"stationary_light",2,"1","red","flashing",2,"left","right","blonde","20","off"
"2722",27.013,"stationary_light_stop",6,"1","red","flashing",2,"left","right","blonde","20","off"
"3215",180.947,"stationary_control",4,"1","red","flashing",2,"left","right","blonde","20","off"
"3513",15,"stationary_control",4,"6","royalblue","flashing",2,"left","right","blonde","20","off"
"3813",285.773,"stationary_control",4,"4","white","flashing",2,"left","right","blonde","20","off"
"1133",199.987,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"2127",208.034,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"3100",259.628,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"490",263.233,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"549",289.382,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"635",291.034,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"1726",15.633,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"1826",34.073,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"1926",53.967,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2026",110.434,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"2326",155.033,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2426",185.466,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"2523",260.267,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2623",292.633,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"3414",15.466,"stationary_light",2,"5","green","continuous",2,"right","left","spotted","21","off"
"3614",15.233,"stationary_control",4,"6","red","continuous",2,"left","right","spotted","21","off"
"3814",15.467,"stationary_control",4,"4","royalblue","continuous",2,"left","right","spotted","21","off"
"4117",100.673,"stationary_control",4,"2","white","continuous",2,"left","right","spotted","21","off"
"4214",125.642,"stationary_control_stop",8,"2","white","continuous",2,"left","right","spotted","21","off"
"4512",226.077,"stationary_control",4,"2","white","continuous",2,"left","right","spotted","21","off"
"5011",15.534,"stationary_light",2,"6","amber","flashing",1,"left","right","spotted","21","off"
"5212",32.511,"stationary_control",4,"3","blue","flashing",1,"right","left","spotted","21","off"
"5311",46.088,"stationary_control_stop",8,"3","blue","flashing",1,"right","left","spotted","21","off"
"5410",75.458,"stationary_control",4,"3","blue","flashing",1,"right","left","spotted","21","off"
"558",92.633,"stationary_control_stop",8,"3","blue","flashing",1,"right","left","spotted","21","off"
"568",113.059,"stationary_control",4,"3","blue","flashing",1,"right","left","spotted","21","off"
"578",130.659,"stationary_control_stop",8,"3","blue","flashing",1,"right","left","spotted","21","off"
"598",277.114,"stationary_light",2,"3","blue","flashing",1,"right","left","spotted","21","off"
"607",296.074,"stationary_light_stop",6,"3","blue","flashing",1,"right","left","spotted","21","off"
"694",15.917,"stationary_control",4,"5","green","flashing",1,"right","left","spotted","21","off"
"704",217.91,"stationary_control_stop",8,"5","green","flashing",1,"right","left","spotted","21","off"
"7210",255.187,"stationary_control",4,"5","green","flashing",1,"right","left","spotted","21","off"
"743",15.534,"stationary_light",2,"2","red","flashing",1,"left","right","spotted","21","off"
"783",220.949,"stationary_control",4,"1","royalblue","flashing",1,"right","left","spotted","21","off"
"793",242.548,"stationary_control_stop",8,"1","royalblue","flashing",1,"right","left","spotted","21","off"
"803",266.051,"stationary_control",4,"1","royalblue","flashing",1,"right","left","spotted","21","off"
"827",54.256,"stationary_light",2,"4","white","flashing",1,"left","right","spotted","21","off"
"832",197.637,"stationary_light_stop",6,"4","white","flashing",1,"left","right","spotted","21","off"
"842",217.731,"stationary_light",2,"4","white","flashing",1,"left","right","spotted","21","off"
"1135",15,"stationary_light",2,"5","amber","continuous",1,"left","right","spotted","22","off"
"3101",15,"stationary_control",4,"4","blue","continuous",1,"right","left","spotted","22","off"
"550",15,"stationary_light",2,"1","green","continuous",1,"left","right","spotted","22","off"
"734",15,"stationary_control",4,"6","red","continuous",1,"right","left","spotted","22","off"
"928",15.54,"stationary_control",4,"2","royalblue","continuous",1,"right","left","spotted","22","off"
"1228",15,"stationary_light",2,"3","white","continuous",1,"left","right","spotted","22","off"
"1427",15.475,"stationary_control",4,"4","amber","flashing",2,"right","left","spotted","22","off"
"1727",15,"stationary_light",2,"5","blue","flashing",2,"left","right","spotted","22","off"
"1927",15,"stationary_control",4,"2","green","flashing",2,"right","left","spotted","22","off"
"2130",15,"stationary_control",4,"6","red","flashing",2,"right","left","spotted","22","off"
"2327",15,"stationary_light",2,"3","royalblue","flashing",2,"left","right","spotted","22","off"
"2524",15,"stationary_light",2,"1","white","flashing",2,"left","right","spotted","22","off"
"1137",15.434,"stationary_control",4,"4","amber","continuous",2,"left","right","spotted","23","off"
"2131",56.803,"stationary_control_stop",8,"4","amber","continuous",2,"left","right","spotted","23","off"
"3102",90.372,"stationary_control",4,"4","amber","continuous",2,"left","right","spotted","23","off"
"638",94.913,"stationary_light",2,"6","blue","continuous",2,"left","right","spotted","23","off"
"829",15.338,"stationary_light",2,"1","green","continuous",2,"right","left","spotted","23","off"
"1029",15.4,"stationary_light",2,"5","red","continuous",2,"right","left","spotted","23","off"
"1229",15.099,"stationary_control",4,"2","royalblue","continuous",2,"left","right","spotted","23","off"
"1428",15.499,"stationary_light",2,"3","white","continuous",2,"right","left","spotted","23","off"
"2028",15,"stationary_control",4,"6","amber","flashing",1,"left","right","spotted","23","off"
"2228",15,"stationary_control",4,"4","blue","flashing",1,"left","right","spotted","23","off"
"2428",15,"stationary_light",2,"5","green","flashing",1,"right","left","spotted","23","off"
"2625",15,"stationary_light",2,"3","red","flashing",1,"right","left","spotted","23","off"
"2824",15,"stationary_control",4,"2","royalblue","flashing",1,"left","right","spotted","23","off"
"3015",15.569,"stationary_control",4,"1","white","flashing",1,"right","left","spotted","23","off"
"3119",30.802,"stationary_control_stop",8,"1","white","flashing",1,"right","left","spotted","23","off"
"3615",275.683,"stationary_light",2,"1","white","flashing",1,"right","left","spotted","23","off"
"1139",15.664,"stationary_light",2,"2","amber","continuous",2,"right","left","blonde","24","off"
"2133",18.052,"stationary_light_stop",6,"2","amber","continuous",2,"right","left","blonde","24","off"
"639",199.763,"stationary_light",2,"2","amber","continuous",2,"right","left","blonde","24","off"
"2725",15.344,"stationary_control",4,"5","red","continuous",2,"left","right","blonde","24","off"
"2825",119.471,"stationary_control_stop",8,"5","red","continuous",2,"left","right","blonde","24","off"
"3416",15.387,"stationary_light",2,"4","royalblue","continuous",2,"right","left","blonde","24","off"
"3716",15.94,"stationary_control",4,"3","white","continuous",2,"left","right","blonde","24","off"
"3815",51.824,"stationary_control_stop",8,"3","white","continuous",2,"left","right","blonde","24","off"
"4513",15.6,"stationary_control",4,"5","amber","flashing",1,"left","right","blonde","24","off"
"4613",35.667,"stationary_control_stop",8,"5","amber","flashing",1,"left","right","blonde","24","off"
"4813",194.499,"stationary_control",4,"5","amber","flashing",1,"left","right","blonde","24","off"
"6114",15,"stationary_light",2,"6","red","flashing",1,"right","left","blonde","24","off"
"6310",15,"stationary_light",2,"4","royalblue","flashing",1,"right","left","blonde","24","off"
"656",207.126,"stationary_control",4,"3","white","flashing",1,"left","right","blonde","24","off"
"666",287.221,"stationary_control_stop",8,"3","white","flashing",1,"left","right","blonde","24","off"
"1142",15.558,"stationary_light",2,"1","amber","continuous",1,"right","left","blonde","25","off"
"2135",125.829,"stationary_light_stop",6,"1","amber","continuous",1,"right","left","blonde","25","off"
"932",15.558,"stationary_light",2,"2","blue","continuous",1,"left","right","blonde","25","off"
"1143",15.558,"stationary_control",4,"3","green","continuous",1,"right","left","blonde","25","off"
"1330",15.558,"stationary_light",2,"6","red","continuous",1,"left","right","blonde","25","off"
"1530",15.558,"stationary_light",2,"4","royalblue","continuous",1,"left","right","blonde","25","off"
"1730",15.558,"stationary_control",4,"5","white","continuous",1,"right","left","blonde","25","off"
"2136",180.677,"stationary_light",2,"4","amber","flashing",2,"right","left","blonde","25","off"
"2230",182.715,"stationary_light_stop",6,"4","amber","flashing",2,"right","left","blonde","25","off"
"2330",254.481,"stationary_light",2,"4","amber","flashing",2,"right","left","blonde","25","off"
"2527",51.292,"stationary_control",4,"1","blue","flashing",2,"left","right","blonde","25","off"
"2627",217.673,"stationary_control_stop",8,"1","blue","flashing",2,"left","right","blonde","25","off"
"3517",15.429,"stationary_control",4,"3","green","flashing",2,"left","right","blonde","25","off"
"3617",60.438,"stationary_control_stop",8,"3","green","flashing",2,"left","right","blonde","25","off"
"4914",15.388,"stationary_light",2,"5","royalblue","flashing",2,"right","left","blonde","25","off"
"5412",15.279,"stationary_control",4,"6","white","flashing",2,"left","right","blonde","25","off"
"1144",15.408,"stationary_light",2,"6","amber","continuous",2,"right","left","blonde","26","off"
"3105",15.408,"stationary_control",4,"3","blue","continuous",2,"left","right","blonde","26","off"
"580",15.408,"stationary_light",2,"2","green","continuous",2,"right","left","blonde","26","off"
"738",15.408,"stationary_control",4,"5","red","continuous",2,"left","right","blonde","26","off"
"933",15.408,"stationary_light",2,"4","royalblue","continuous",2,"right","left","blonde","26","off"
"1145",15.408,"stationary_control",4,"1","white","continuous",2,"left","right","blonde","26","off"
"1233",100.062,"stationary_control_stop",8,"1","white","continuous",2,"left","right","blonde","26","off"
"1331",125.603,"stationary_control",4,"1","white","continuous",2,"left","right","blonde","26","off"
"1531",15,"stationary_light",2,"6","amber","flashing",1,"right","left","blonde","26","off"
"1731",52.711,"stationary_control",4,"1","blue","flashing",1,"left","right","blonde","26","off"
"1831",101.882,"stationary_control_stop",8,"1","blue","flashing",1,"left","right","blonde","26","off"
"2031",250.127,"stationary_control",4,"1","blue","flashing",1,"left","right","blonde","26","off"
"2231",15,"stationary_light",2,"2","green","flashing",1,"right","left","blonde","26","off"
"2431",15,"stationary_control",4,"3","red","flashing",1,"left","right","blonde","26","off"
"2628",15,"stationary_light",2,"4","royalblue","flashing",1,"right","left","blonde","26","off"
"2827",15,"stationary_control",4,"5","white","flashing",1,"left","right","blonde","26","off"
"1146",15.264,"stationary_light",2,"4","amber","continuous",2,"left","right","spotted","27","off"
"3106",15.264,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","27","off"
"590",15.264,"stationary_light",2,"6","green","continuous",2,"left","right","spotted","27","off"
"739",15.264,"stationary_control",4,"1","red","continuous",2,"right","left","spotted","27","off"
"1034",15.264,"stationary_light",2,"2","royalblue","continuous",2,"left","right","spotted","27","off"
"1234",15.264,"stationary_control",4,"5","white","continuous",2,"right","left","spotted","27","off"
"1432",15.237,"stationary_light",2,"3","amber","flashing",1,"right","left","spotted","27","off"
"1632",15.237,"stationary_control",4,"6","blue","flashing",1,"left","right","spotted","27","off"
"1832",15.237,"stationary_control",4,"4","green","flashing",1,"left","right","spotted","27","off"
"2032",15.237,"stationary_light",2,"5","red","flashing",1,"right","left","spotted","27","off"
"2232",15.237,"stationary_light",2,"1","royalblue","flashing",1,"right","left","spotted","27","off"
"2529",15.237,"stationary_control",4,"2","white","flashing",1,"left","right","spotted","27","off"
"6",251.834,"stationary_control",3,"2","green","continuous",1,"right","left","spotted","1","on"
"19",315.539,"stationary_control_stop",7,"6","amber","continuous",2,"left","right","spotted","1","on"
"20",337.867,"stationary_control",3,"6","amber","continuous",2,"left","right","spotted","1","on"
"21",380.967,"stationary_control_stop",7,"6","amber","continuous",2,"left","right","spotted","1","on"
"22",400.534,"stationary_control",3,"6","amber","continuous",2,"left","right","spotted","1","on"
"23",403.534,"stationary_control_stop",7,"6","amber","continuous",2,"left","right","spotted","1","on"
"24",423.767,"stationary_control",3,"6","amber","continuous",2,"left","right","spotted","1","on"
"25",465.766,"stationary_control_stop",7,"6","amber","continuous",2,"left","right","spotted","1","on"
"26",485.399,"stationary_control",3,"6","amber","continuous",2,"left","right","spotted","1","on"
"27",490.166,"stationary_control_stop",7,"6","amber","continuous",2,"left","right","spotted","1","on"
"46",314.304,"stationary_light",1,"3","red","continuous",2,"right","left","spotted","1","on"
"47",389.437,"stationary_light_stop",5,"3","red","continuous",2,"right","left","spotted","1","on"
"49",467.199,"stationary_light",1,"3","red","continuous",2,"right","left","spotted","1","on"
"55",340.833,"stationary_light",1,"4","royalblue","continuous",2,"left","right","spotted","1","on"
"56",539.701,"stationary_light_stop",5,"4","royalblue","continuous",2,"left","right","spotted","1","on"
"57",568.267,"stationary_light",1,"4","royalblue","continuous",2,"left","right","spotted","1","on"
"68",443.233,"stationary_light",1,"6","amber","flashing",1,"right","left","spotted","1","on"
"69",479.099,"stationary_light_stop",5,"6","amber","flashing",1,"right","left","spotted","1","on"
"71",548.4,"stationary_light",1,"6","amber","flashing",1,"right","left","spotted","1","on"
"76",381.24,"stationary_light",1,"3","blue","flashing",1,"left","right","spotted","1","on"
"77",423.167,"stationary_light_stop",5,"3","blue","flashing",1,"left","right","spotted","1","on"
"79",523.134,"stationary_light",1,"3","blue","flashing",1,"left","right","spotted","1","on"
"80",549.439,"stationary_light_stop",5,"3","blue","flashing",1,"left","right","spotted","1","on"
"81",595.1,"stationary_control",3,"3","blue","flashing",1,"left","right","spotted","1","on"
"89",335.034,"stationary_control",3,"4","red","flashing",1,"right","left","spotted","1","on"
"90",436.299,"stationary_control_stop",7,"4","red","flashing",1,"right","left","spotted","1","on"
"92",524.799,"stationary_light",1,"4","red","flashing",1,"right","left","spotted","1","on"
"98",446.735,"stationary_control_stop",7,"2","green","flashing",2,"right","left","spotted","1","on"
"99",480.134,"stationary_control",3,"2","green","flashing",2,"right","left","spotted","1","on"
"100",570.034,"stationary_control_stop",7,"2","green","flashing",2,"right","left","spotted","1","on"
"110",358.075,"stationary_light",1,"1","white","flashing",2,"left","right","spotted","1","on"
"111",431.14,"stationary_light_stop",5,"1","white","flashing",2,"left","right","spotted","1","on"
"117",593.599,"stationary_light",1,"1","white","flashing",2,"left","right","spotted","1","on"
"204",488.668,"stationary_control",3,"5","red","continuous",1,"right","left","spotted","3","on"
"205",549.869,"stationary_control_stop",7,"5","red","continuous",1,"right","left","spotted","3","on"
"227",524.5,"stationary_control",3,"3","green","flashing",2,"left","right","spotted","3","on"
"237",330.034,"stationary_control_stop",7,"5","white","flashing",2,"left","right","spotted","3","on"
"238",350.934,"stationary_control",3,"5","white","flashing",2,"left","right","spotted","3","on"
"249",308.605,"stationary_control",3,"1","royalblue","continuous",1,"left","right","spotted","4","on"
"259",383.368,"stationary_light_stop",5,"2","amber","flashing",2,"left","right","spotted","4","on"
"261",493.256,"stationary_control",3,"2","amber","flashing",2,"left","right","spotted","4","on"
"262",510.495,"stationary_control_stop",7,"2","amber","flashing",2,"left","right","spotted","4","on"
"263",536.598,"stationary_control",3,"2","amber","flashing",2,"left","right","spotted","4","on"
"264",563.741,"stationary_control_stop",7,"2","amber","flashing",2,"left","right","spotted","4","on"
"274",304.425,"stationary_control",3,"3","blue","flashing",2,"right","left","spotted","4","on"
"275",311.354,"stationary_control_stop",7,"3","blue","flashing",2,"right","left","spotted","4","on"
"277",400.35,"stationary_control",3,"3","blue","flashing",2,"right","left","spotted","4","on"
"1410",459.13,"stationary_light",1,"2","green","continuous",2,"left","right","blonde","5","on"
"2710",436.999,"stationary_light",1,"5","amber","flashing",1,"left","right","blonde","5","on"
"361",374.823,"stationary_light",1,"3","blue","flashing",1,"left","right","blonde","5","on"
"431",391.808,"stationary_light_stop",5,"1","royalblue","flashing",1,"left","right","blonde","5","on"
"511",496.667,"stationary_control_stop",7,"3","blue","continuous",1,"left","right","blonde","6","on"
"610",563.494,"stationary_control",3,"3","blue","continuous",1,"left","right","blonde","6","on"
"1711",499.666,"stationary_light",1,"1","red","continuous",2,"left","right","blonde","6","on"
"2411",388.734,"stationary_light",1,"2","white","continuous",1,"right","left","blonde","6","on"
"2511",407.533,"stationary_light_stop",5,"2","white","continuous",1,"right","left","blonde","6","on"
"781",322.439,"stationary_light",1,"5","white","flashing",2,"right","left","blonde","6","on"
"811",336.167,"stationary_control_stop",7,"2","blue","continuous",2,"left","right","blonde","7","on"
"912",368.384,"stationary_control",3,"2","blue","continuous",2,"left","right","blonde","7","on"
"1412",523.013,"stationary_light",1,"6","green","continuous",2,"left","right","blonde","7","on"
"2212",587.399,"stationary_control_stop",7,"4","royalblue","continuous",2,"left","right","blonde","7","on"
"303",421.563,"stationary_light",1,"3","white","continuous",2,"right","left","blonde","7","on"
"353",447.257,"stationary_light",1,"2","amber","flashing",1,"right","left","blonde","7","on"
"363",490.835,"stationary_light_stop",5,"2","amber","flashing",1,"right","left","blonde","7","on"
"522",351.942,"stationary_control",3,"1","red","flashing",1,"left","right","blonde","7","on"
"532",378.767,"stationary_control_stop",7,"1","red","flashing",1,"left","right","blonde","7","on"
"542",466.943,"stationary_control",3,"1","red","flashing",1,"left","right","blonde","7","on"
"1813",303.597,"stationary_light",1,"2","red","continuous",1,"right","left","blonde","8","on"
"354",304.162,"stationary_light",1,"1","green","flashing",2,"right","left","blonde","8","on"
"364",380.134,"stationary_light_stop",5,"1","green","flashing",2,"right","left","blonde","8","on"
"394",487.633,"stationary_light",1,"1","green","flashing",2,"right","left","blonde","8","on"
"1014",512.7,"stationary_light",1,"1","amber","continuous",2,"right","left","blonde","9","on"
"1114",518.567,"stationary_light_stop",5,"1","amber","continuous",2,"right","left","blonde","9","on"
"2114",407.4,"stationary_control_stop",7,"2","green","continuous",2,"left","right","blonde","9","on"
"2214",585.815,"stationary_control",3,"2","green","continuous",2,"left","right","blonde","9","on"
"2115",311.733,"stationary_light",1,"2","royalblue","continuous",2,"right","left","spotted","10","on"
"2815",363.239,"stationary_control",3,"6","amber","flashing",1,"left","right","spotted","10","on"
"524",337.7,"stationary_light",1,"1","amber","continuous",1,"left","right","smalleye","12","on"
"617",341.333,"stationary_light_stop",5,"1","amber","continuous",1,"left","right","smalleye","12","on"
"917",553.367,"stationary_light",1,"1","amber","continuous",1,"left","right","smalleye","12","on"
"1017",579.233,"stationary_light_stop",5,"1","amber","continuous",1,"left","right","smalleye","12","on"
"337",326.267,"stationary_light",1,"2","royalblue","continuous",2,"right","left","smalleye","12","on"
"347",334.366,"stationary_light_stop",5,"2","royalblue","continuous",2,"right","left","smalleye","12","on"
"357",390.966,"stationary_control",3,"2","royalblue","continuous",2,"right","left","smalleye","12","on"
"367",450.367,"stationary_control_stop",7,"2","royalblue","continuous",2,"right","left","smalleye","12","on"
"377",560.269,"stationary_light",1,"2","royalblue","continuous",2,"right","left","smalleye","12","on"
"1118",327.37,"stationary_control_stop",7,"3","green","continuous",1,"right","left","smalleye","13","on"
"1418",457.069,"stationary_light",1,"3","green","continuous",1,"right","left","smalleye","13","on"
"1918",404.167,"stationary_light_stop",5,"1","red","continuous",1,"right","left","smalleye","13","on"
"348",326.983,"stationary_control",3,"2","white","continuous",1,"left","right","smalleye","13","on"
"358",331.77,"stationary_control_stop",7,"2","white","continuous",1,"left","right","smalleye","13","on"
"378",515.93,"stationary_light",1,"2","white","continuous",1,"left","right","smalleye","13","on"
"388",540.104,"stationary_light_stop",5,"2","white","continuous",1,"left","right","smalleye","13","on"
"544",337.607,"stationary_control",3,"1","red","flashing",2,"right","left","smalleye","13","on"
"554",369.634,"stationary_control_stop",7,"1","red","flashing",2,"right","left","smalleye","13","on"
"584",483.134,"stationary_control",3,"1","red","flashing",2,"right","left","smalleye","13","on"
"594",518.366,"stationary_control_stop",7,"1","red","flashing",2,"right","left","smalleye","13","on"
"619",583.734,"stationary_light",1,"1","red","flashing",2,"right","left","smalleye","13","on"
"919",520.817,"stationary_light",1,"6","amber","continuous",1,"right","left","blonde","14","on"
"702",521.107,"stationary_control",3,"2","white","flashing",2,"right","left","blonde","14","on"
"7110",538.203,"stationary_control_stop",7,"2","white","flashing",2,"right","left","blonde","14","on"
"819",580.993,"stationary_light",1,"4","amber","continuous",2,"left","right","blonde","15","on"
"2421",421.865,"stationary_control",3,"2","white","continuous",2,"right","left","blonde","16","on"
"2520",506.441,"stationary_control_stop",7,"2","white","continuous",2,"right","left","blonde","16","on"
"3711",425.266,"stationary_light",1,"2","red","flashing",2,"right","left","blonde","16","on"
"629",453.609,"stationary_light",1,"5","amber","continuous",2,"right","left","blonde","19","on"
"727",461.211,"stationary_light_stop",5,"5","amber","continuous",2,"right","left","blonde","19","on"
"823",586.544,"stationary_light",1,"5","amber","continuous",2,"right","left","blonde","19","on"
"2225",412.648,"stationary_control",3,"3","blue","flashing",2,"left","right","blonde","20","on"
"730",310.889,"stationary_control",3,"1","amber","continuous",2,"right","left","spotted","21","on"
"826",328.233,"stationary_control_stop",7,"1","amber","continuous",2,"right","left","spotted","21","on"
"927",433.764,"stationary_control",3,"1","amber","continuous",2,"right","left","spotted","21","on"
"1027",456.334,"stationary_control_stop",7,"1","amber","continuous",2,"right","left","spotted","21","on"
"1134",477.905,"stationary_control",3,"1","amber","continuous",2,"right","left","spotted","21","on"
"1227",547.134,"stationary_control_stop",7,"1","amber","continuous",2,"right","left","spotted","21","on"
"2723",312.884,"stationary_control",3,"3","blue","continuous",2,"right","left","spotted","21","on"
"2823",328.934,"stationary_control_stop",7,"3","blue","continuous",2,"right","left","spotted","21","on"
"3118",454.378,"stationary_light",1,"3","blue","continuous",2,"right","left","spotted","21","on"
"4612",423.166,"stationary_control_stop",7,"2","white","continuous",2,"left","right","spotted","21","on"
"4712",516.026,"stationary_light",1,"2","white","continuous",2,"left","right","spotted","21","on"
"4812",597.406,"stationary_light_stop",5,"2","white","continuous",2,"left","right","spotted","21","on"
"655",436.965,"stationary_control",3,"3","blue","flashing",1,"right","left","spotted","21","on"
"665",465.659,"stationary_control_stop",7,"3","blue","flashing",1,"right","left","spotted","21","on"
"753",324.506,"stationary_light_stop",5,"2","red","flashing",1,"left","right","spotted","21","on"
"1528",445.868,"stationary_light_stop",5,"3","white","continuous",2,"right","left","spotted","23","on"
"1828",546.715,"stationary_light",1,"3","white","continuous",2,"right","left","spotted","23","on"
"1529",536.292,"stationary_control",3,"1","blue","continuous",2,"left","right","blonde","24","on"
"4314",564.321,"stationary_control",3,"3","white","continuous",2,"left","right","blonde","24","on"
