,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,trial_number,length,light_mode
1,15.299,stationary_control,4,5,amber,continuous,2,right,left,3,37.724,off
3,281.417,stationary_light,2,2,blue,continuous,2,left,right,3,37.724,off
4,15.399,stationary_light,2,4,green,continuous,2,left,right,3,37.724,off
6,57.306,stationary_light,2,1,red,continuous,2,right,left,3,37.724,off
7,290.172,stationary_light_stop,6,1,red,continuous,2,right,left,3,37.724,off
8,15.599,stationary_light,2,6,royalblue,continuous,2,left,right,3,37.724,off
9,15.434,stationary_control,4,3,white,continuous,2,right,left,3,37.724,off
10,15.533,stationary_control,4,5,amber,flashing,1,right,left,3,37.724,off
18,250.066,stationary_light,2,4,green,flashing,1,left,right,3,37.724,off
19,31.232,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
20,41.136,stationary_control_stop,8,1,red,flashing,1,right,left,3,37.724,off
21,72.474,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
22,175.403,stationary_control_stop,8,1,red,flashing,1,right,left,3,37.724,off
26,292.385,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
27,15,stationary_light,2,6,royalblue,flashing,1,left,right,3,37.724,off
28,48.735,stationary_light_stop,6,6,royalblue,flashing,1,left,right,3,37.724,off
31,187.584,stationary_control,4,6,royalblue,flashing,1,left,right,3,37.724,off
33,83.134,stationary_control,4,3,white,flashing,1,right,left,3,37.724,off
34,84.766,stationary_control_stop,8,3,white,flashing,1,right,left,3,37.724,off
35,113.136,stationary_light,2,3,white,flashing,1,right,left,3,37.724,off
36,129.968,stationary_light_stop,6,3,white,flashing,1,right,left,3,37.724,off
38,15.434,stationary_light,2,5,amber,continuous,2,right,left,5,29.061,off
39,115.466,stationary_light_stop,6,5,amber,continuous,2,right,left,5,29.061,off
40,170.945,stationary_light,2,5,amber,continuous,2,right,left,5,29.061,off
41,182.104,stationary_light_stop,6,5,amber,continuous,2,right,left,5,29.061,off
45,15.533,stationary_control,4,1,blue,continuous,2,right,left,5,29.061,off
46,15.3,stationary_light,2,4,green,continuous,2,left,right,5,29.061,off
47,186.599,stationary_light_stop,6,4,green,continuous,2,left,right,5,29.061,off
48,217,stationary_light,2,4,green,continuous,2,left,right,5,29.061,off
49,15.333,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
50,96.6,stationary_light_stop,6,6,red,continuous,2,left,right,5,29.061,off
51,136.4,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
52,141.333,stationary_light_stop,6,6,red,continuous,2,left,right,5,29.061,off
54,250.099,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
55,15.499,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
56,110.467,stationary_control_stop,8,3,royalblue,continuous,2,right,left,5,29.061,off
58,148.067,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
59,152.467,stationary_control_stop,8,3,royalblue,continuous,2,right,left,5,29.061,off
62,275.999,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
68,263.984,stationary_light,2,2,white,continuous,2,left,right,5,29.061,off
69,273.366,stationary_light_stop,6,2,white,continuous,2,left,right,5,29.061,off
70,15.5,stationary_light,2,6,amber,flashing,1,left,right,5,29.061,off
71,99.336,stationary_light_stop,6,6,amber,flashing,1,left,right,5,29.061,off
72,134.835,stationary_control,4,6,amber,flashing,1,left,right,5,29.061,off
73,204.6,stationary_control_stop,8,6,amber,flashing,1,left,right,5,29.061,off
74,229.6,stationary_control,4,6,amber,flashing,1,left,right,5,29.061,off
75,243.003,stationary_control_stop,8,6,amber,flashing,1,left,right,5,29.061,off
78,15.77,stationary_light,2,1,blue,flashing,1,right,left,5,29.061,off
79,82.967,stationary_light_stop,6,1,blue,flashing,1,right,left,5,29.061,off
84,15.469,stationary_light,2,4,green,flashing,1,left,right,5,29.061,off
85,197.535,stationary_light_stop,5,4,green,flashing,1,left,right,5,29.061,off
87,269.267,stationary_control,4,4,green,flashing,1,left,right,5,29.061,off
88,15.999,stationary_control,4,5,red,flashing,1,right,left,5,29.061,off
89,166.935,stationary_control_stop,8,5,red,flashing,1,right,left,5,29.061,off
91,15.199,stationary_light,5,4,amber,continuous,1,right,left,8,29.779,off
92,15.1,stationary_light,2,3,blue,continuous,1,left,right,8,29.779,off
93,15.4,stationary_light,2,1,green,continuous,1,left,right,8,29.779,off
94,213.867,stationary_light_stop,6,1,green,continuous,1,left,right,8,29.779,off
100,15.467,stationary_control,4,6,red,continuous,1,right,left,8,29.779,off
107,15.167,stationary_light,2,5,white,continuous,1,left,right,8,29.779,off
108,15,stationary_light,5,3,amber,flashing,2,left,right,8,29.779,off
109,15,stationary_control,5,4,blue,flashing,2,right,left,8,29.779,off
110,15,stationary_light,5,5,green,flashing,2,left,right,8,29.779,off
111,15,stationary_light,5,1,red,flashing,2,left,right,8,29.779,off
112,15,stationary_control,5,6,royalblue,flashing,2,right,left,8,29.779,off
113,15,stationary_control,5,2,white,flashing,2,right,left,8,29.779,off
114,15,stationary_light,4,5,amber,continuous,1,left,right,10,40.651,off
115,15.434,stationary_control,4,2,blue,continuous,1,right,left,10,40.651,off
116,42.567,stationary_control_stop,8,2,blue,continuous,1,right,left,10,40.651,off
123,15.599,stationary_control,4,1,green,continuous,1,left,right,10,40.651,off
124,146.899,stationary_control_stop,8,1,green,continuous,1,left,right,10,40.651,off
129,15,stationary_light,4,3,red,continuous,1,left,right,10,40.651,off
130,15,stationary_control,4,4,royalblue,continuous,1,right,left,10,40.651,off
131,15,stationary_control,4,6,white,continuous,1,right,left,10,40.651,off
132,15.267,stationary_light,4,3,amber,flashing,2,left,right,10,40.651,off
133,15.267,stationary_light,4,5,blue,flashing,2,left,right,10,40.651,off
134,15.267,stationary_control,4,2,green,flashing,2,right,left,10,40.651,off
135,152.934,stationary_control_stop,8,2,green,flashing,2,right,left,10,40.651,off
139,15.567,stationary_control,4,1,red,flashing,2,left,right,10,40.651,off
140,212.233,stationary_control_stop,8,1,red,flashing,2,left,right,10,40.651,off
143,15.267,stationary_control,4,5,royalblue,flashing,2,right,left,10,40.651,off
144,15.267,stationary_control,4,4,white,flashing,2,right,left,10,40.651,off
145,15.567,stationary_control,4,1,amber,continuous,1,right,left,13,32.721,off
146,198.666,stationary_control_stop,8,1,amber,continuous,1,right,left,13,32.721,off
147,222.733,stationary_light,2,1,amber,continuous,1,right,left,13,32.721,off
148,230.7,stationary_light_stop,6,1,amber,continuous,1,right,left,13,32.721,off
149,254.334,stationary_light,2,1,amber,continuous,1,right,left,13,32.721,off
155,251.067,stationary_control,4,4,blue,continuous,1,left,right,13,32.721,off
156,292.934,stationary_control_stop,8,4,blue,continuous,1,left,right,13,32.721,off
157,15.434,stationary_control,4,2,green,continuous,1,left,right,13,32.721,off
158,15.433,stationary_light,2,6,red,continuous,1,right,left,13,32.721,off
159,15.434,stationary_control,4,3,royalblue,continuous,1,right,left,13,32.721,off
160,77.333,stationary_control_stop,8,3,royalblue,continuous,1,right,left,13,32.721,off
162,101.4,stationary_control,4,3,royalblue,continuous,1,right,left,13,32.721,off
163,105.934,stationary_control_stop,8,3,royalblue,continuous,1,right,left,13,32.721,off
166,232.532,stationary_control,4,3,royalblue,continuous,1,right,left,13,32.721,off
167,259.467,stationary_control_stop,8,3,royalblue,continuous,1,right,left,13,32.721,off
168,290.055,stationary_light,2,3,royalblue,continuous,1,right,left,13,32.721,off
169,15.433,stationary_light,2,6,white,continuous,1,left,right,13,32.721,off
170,111,stationary_light_stop,6,6,white,continuous,1,left,right,13,32.721,off
175,249.233,stationary_control,4,6,white,continuous,1,left,right,13,32.721,off
176,322.7,stationary_control_stop,8,6,white,continuous,1,left,right,13,32.721,off
177,15,stationary_control,4,5,amber,flashing,2,right,left,13,32.721,off
178,15.233,stationary_control,4,1,blue,flashing,2,right,left,13,32.721,off
179,135.266,stationary_control_stop,8,1,blue,flashing,2,right,left,13,32.721,off
181,220.699,stationary_control,4,1,blue,flashing,2,right,left,13,32.721,off
188,293.7,stationary_light,2,2,red,flashing,2,left,right,13,32.721,off
189,15,stationary_control,4,3,royalblue,flashing,2,right,left,13,32.721,off
190,15,stationary_light,4,6,white,flashing,2,left,right,13,32.721,off
191,324.801,stationary_light_stop,5,2,blue,continuous,2,left,right,3,37.724,on
199,316.567,stationary_control,3,1,red,continuous,2,right,left,3,37.724,on
200,323.8,stationary_control_stop,7,1,red,continuous,2,right,left,3,37.724,on
204,418.967,stationary_light,1,1,red,continuous,2,right,left,3,37.724,on
205,462.703,stationary_light_stop,5,1,red,continuous,2,right,left,3,37.724,on
209,321.018,stationary_light,1,2,blue,flashing,1,left,right,3,37.724,on
210,325.301,stationary_light_stop,5,2,blue,flashing,1,left,right,3,37.724,on
217,315.237,stationary_control_stop,7,1,red,flashing,1,right,left,3,37.724,on
218,378.547,stationary_control,3,1,red,flashing,1,right,left,3,37.724,on
219,395.167,stationary_control_stop,7,1,red,flashing,1,right,left,3,37.724,on
229,315.12,stationary_control,3,5,amber,continuous,2,right,left,5,29.061,on
230,360.067,stationary_control_stop,7,5,amber,continuous,2,right,left,5,29.061,on
232,512.166,stationary_control,3,5,amber,continuous,2,right,left,5,29.061,on
233,539.766,stationary_control_stop,7,5,amber,continuous,2,right,left,5,29.061,on
234,559.699,stationary_control,3,5,amber,continuous,2,right,left,5,29.061,on
235,394.266,stationary_control_stop,7,1,blue,continuous,2,right,left,5,29.061,on
243,596.833,stationary_control,3,1,blue,continuous,2,right,left,5,29.061,on
244,341.166,stationary_light_stop,5,4,green,continuous,2,left,right,5,29.061,on
247,523.366,stationary_light,1,4,green,continuous,2,left,right,5,29.061,on
248,543.867,stationary_light_stop,5,4,green,continuous,2,left,right,5,29.061,on
249,564.667,stationary_light,1,4,green,continuous,2,left,right,5,29.061,on
250,569.599,stationary_light_stop,5,4,green,continuous,2,left,right,5,29.061,on
251,375.602,stationary_light_stop,5,6,red,continuous,2,left,right,5,29.061,on
252,416.733,stationary_light,1,6,red,continuous,2,left,right,5,29.061,on
253,418.634,stationary_light_stop,5,6,red,continuous,2,left,right,5,29.061,on
254,438.966,stationary_light,1,6,red,continuous,2,left,right,5,29.061,on
255,478.267,stationary_light_stop,5,6,red,continuous,2,left,right,5,29.061,on
258,569.533,stationary_light,1,6,red,continuous,2,left,right,5,29.061,on
259,390.534,stationary_control_stop,7,3,royalblue,continuous,2,right,left,5,29.061,on
262,471.434,stationary_control,3,3,royalblue,continuous,2,right,left,5,29.061,on
263,543.534,stationary_control_stop,7,3,royalblue,continuous,2,right,left,5,29.061,on
264,568.266,stationary_control,3,3,royalblue,continuous,2,right,left,5,29.061,on
265,316.367,stationary_light,1,2,white,continuous,2,left,right,5,29.061,on
266,320.368,stationary_light_stop,5,2,white,continuous,2,left,right,5,29.061,on
273,492.867,stationary_light,1,2,white,continuous,2,left,right,5,29.061,on
274,500.334,stationary_light_stop,5,2,white,continuous,2,left,right,5,29.061,on
276,301.202,stationary_light,1,6,amber,flashing,1,left,right,5,29.061,on
277,340.868,stationary_light_stop,5,6,amber,flashing,1,left,right,5,29.061,on
278,363.967,stationary_light,1,6,amber,flashing,1,left,right,5,29.061,on
279,392.47,stationary_light_stop,5,6,amber,flashing,1,left,right,5,29.061,on
280,437.401,stationary_control,3,6,amber,flashing,1,left,right,5,29.061,on
281,444.936,stationary_control_stop,7,6,amber,flashing,1,left,right,5,29.061,on
283,488.299,stationary_light,1,6,amber,flashing,1,left,right,5,29.061,on
284,526.1,stationary_light_stop,5,6,amber,flashing,1,left,right,5,29.061,on
289,331.203,stationary_control_stop,7,4,green,flashing,1,left,right,5,29.061,on
291,384.133,stationary_light,1,4,green,flashing,1,left,right,5,29.061,on
292,316.237,stationary_light,1,5,red,flashing,1,right,left,5,29.061,on
293,383.269,stationary_light_stop,5,5,red,flashing,1,right,left,5,29.061,on
296,462.371,stationary_light,1,5,red,flashing,1,right,left,5,29.061,on
297,468.799,stationary_light_stop,5,5,red,flashing,1,right,left,5,29.061,on
300,555.769,stationary_control,3,5,red,flashing,1,right,left,5,29.061,on
302,409.834,stationary_light,1,3,royalblue,flashing,1,right,left,5,29.061,on
303,558.301,stationary_light_stop,5,3,royalblue,flashing,1,right,left,5,29.061,on
318,423.833,stationary_control,3,2,blue,continuous,1,right,left,10,40.651,on
319,315,stationary_control,3,1,green,continuous,1,left,right,10,40.651,on
320,420.866,stationary_control_stop,7,1,green,continuous,1,left,right,10,40.651,on
322,451.9,stationary_light,1,1,green,continuous,1,left,right,10,40.651,on
323,455.367,stationary_light_stop,5,1,green,continuous,1,left,right,10,40.651,on
328,295.852,stationary_control,3,2,green,flashing,2,right,left,10,40.651,on
329,362.266,stationary_control_stop,7,2,green,flashing,2,right,left,10,40.651,on
334,599.833,stationary_control,3,2,green,flashing,2,right,left,10,40.651,on
337,450.699,stationary_light,1,1,red,flashing,2,left,right,10,40.651,on
338,456.567,stationary_light_stop,5,1,red,flashing,2,left,right,10,40.651,on
343,318.035,stationary_control,3,4,blue,continuous,1,left,right,13,32.721,on
344,332.999,stationary_control_stop,7,4,blue,continuous,1,left,right,13,32.721,on
354,389.799,stationary_light_stop,5,6,red,continuous,1,right,left,13,32.721,on
355,451.966,stationary_control,3,6,red,continuous,1,right,left,13,32.721,on
356,468.234,stationary_control_stop,7,6,red,continuous,1,right,left,13,32.721,on
357,506.166,stationary_control,3,6,red,continuous,1,right,left,13,32.721,on
358,539.599,stationary_control_stop,7,6,red,continuous,1,right,left,13,32.721,on
360,327.667,stationary_light_stop,5,3,royalblue,continuous,1,right,left,13,32.721,on
364,457.767,stationary_light,1,3,royalblue,continuous,1,right,left,13,32.721,on
365,497.9,stationary_light_stop,5,3,royalblue,continuous,1,right,left,13,32.721,on
367,351.533,stationary_control,3,6,white,continuous,1,left,right,13,32.721,on
368,354.199,stationary_control_stop,7,6,white,continuous,1,left,right,13,32.721,on
373,497.366,stationary_control,3,6,white,continuous,1,left,right,13,32.721,on
374,502.166,stationary_control_stop,7,6,white,continuous,1,left,right,13,32.721,on
378,470.933,stationary_control_stop,7,1,blue,flashing,2,right,left,13,32.721,on
383,588.367,stationary_light,1,1,blue,flashing,2,right,left,13,32.721,on
384,355.499,stationary_light_stop,5,2,red,flashing,2,left,right,13,32.721,on
386,404.566,stationary_light,1,2,red,flashing,2,left,right,13,32.721,on
387,409.499,stationary_light_stop,5,2,red,flashing,2,left,right,13,32.721,on
2,600.54,END,0,5,amber,continuous,2,right,left,3,37.724,on
13,600.399,END,0,2,blue,continuous,2,left,right,3,37.724,on
16,600.234,END,0,4,green,continuous,2,left,right,3,37.724,on
30,600.633,END,0,1,red,continuous,2,right,left,3,37.724,on
32,600.467,END,0,6,royalblue,continuous,2,left,right,3,37.724,on
341,600.405,END,0,3,white,continuous,2,right,left,3,37.724,on
361,599.933,END,0,5,amber,flashing,1,right,left,3,37.724,on
491,600.967,END,0,2,blue,flashing,1,left,right,3,37.724,on
541,599.567,END,0,4,green,flashing,1,left,right,3,37.724,on
711,600.566,END,0,1,red,flashing,1,right,left,3,37.724,on
781,600.872,END,0,6,royalblue,flashing,1,left,right,3,37.724,on
891,600.911,END,0,3,white,flashing,1,right,left,3,37.724,on
103,599.568,END,0,5,amber,continuous,2,right,left,5,29.061,on
1141,599.335,END,0,1,blue,continuous,2,right,left,5,29.061,on
125,599.533,END,0,4,green,continuous,2,left,right,5,29.061,on
1401,599.469,END,0,6,red,continuous,2,left,right,5,29.061,on
1551,601.166,END,0,3,royalblue,continuous,2,right,left,5,29.061,on
174,599.335,END,0,2,white,continuous,2,left,right,5,29.061,on
193,600.737,END,0,6,amber,flashing,1,left,right,5,29.061,on
203,600.868,END,0,1,blue,flashing,1,right,left,5,29.061,on
211,600.875,END,0,4,green,flashing,1,left,right,5,29.061,on
224,600.776,END,0,5,red,flashing,1,right,left,5,29.061,on
2291,589,END,0,3,royalblue,flashing,1,right,left,5,29.061,on
231,602.105,END,0,2,white,flashing,2,left,right,5,29.061,on
2331,599.834,END,0,4,amber,continuous,1,right,left,8,29.779,on
236,600,END,0,3,blue,continuous,1,left,right,8,29.779,on
2521,600.167,END,0,1,green,continuous,1,left,right,8,29.779,on
2541,600.3,END,0,6,red,continuous,1,right,left,8,29.779,on
2631,600.237,END,0,2,royalblue,continuous,1,right,left,8,29.779,on
2651,600.339,END,0,5,white,continuous,1,left,right,8,29.779,on
267,600,END,0,3,amber,flashing,2,left,right,8,29.779,on
269,600,END,0,4,blue,flashing,2,right,left,8,29.779,on
271,600,END,0,5,green,flashing,2,left,right,8,29.779,on
2731,600,END,0,1,red,flashing,2,left,right,8,29.779,on
275,600,END,0,6,royalblue,flashing,2,right,left,8,29.779,on
2771,600,END,0,2,white,flashing,2,right,left,8,29.779,on
2791,600,END,0,5,amber,continuous,1,left,right,10,40.651,on
2911,600.933,END,0,2,blue,continuous,1,right,left,10,40.651,on
308,600.034,END,0,1,green,continuous,1,left,right,10,40.651,on
310,600,END,0,3,red,continuous,1,left,right,10,40.651,on
312,600,END,0,4,royalblue,continuous,1,right,left,10,40.651,on
314,600,END,0,6,white,continuous,1,right,left,10,40.651,on
316,600,END,0,3,amber,flashing,2,left,right,10,40.651,on
3181,600,END,0,5,blue,flashing,2,left,right,10,40.651,on
331,600,END,0,2,green,flashing,2,right,left,10,40.651,on
3441,601.8,END,0,1,red,flashing,2,left,right,10,40.651,on
346,600,END,0,5,royalblue,flashing,2,right,left,10,40.651,on
348,600,END,0,4,white,flashing,2,right,left,10,40.651,on
3541,601.367,END,0,1,amber,continuous,1,right,left,13,32.721,on
3731,600.6,END,0,4,blue,continuous,1,left,right,13,32.721,on
375,599.324,END,0,2,green,continuous,1,left,right,13,32.721,on
3831,592.934,END,0,6,red,continuous,1,right,left,13,32.721,on
401,600.934,END,0,3,royalblue,continuous,1,right,left,13,32.721,on
421,601.335,END,0,6,white,continuous,1,left,right,13,32.721,on
423,600,END,0,5,amber,flashing,2,right,left,13,32.721,on
434,599.867,END,0,1,blue,flashing,2,right,left,13,32.721,on
451,599.233,END,0,2,red,flashing,2,left,right,13,32.721,on
453,600,END,0,3,royalblue,flashing,2,right,left,13,32.721,on
455,600,END,0,6,white,flashing,2,left,right,13,32.721,on
